"rank","trophies","tag","name","expLevel","attackWins","defenseWins","clanTag","clanName","clanBadgeURL"
"144","5321","#L09GJ0V0","aquaria","157","90","9","#2JGYRJVL","MEGA EMPIRE","cxK5C4Wkg4xZN8yXTrZmmm3iZHpinlS0Po9bPAtU5Lg"
"145","5320","#LCJ08P8C","アイルトン","151","418","53","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"146","5319","#22JQPGJG8","LevinXY","127","80","13","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"147","5319","#UYPYGGPC","EXODIAS","128","179","9","#PCG9G0L2","Come & Take It","JMe3SPkziLGyLOd7WgIqVokwUa4BLvWlE-jI7WSj_00"
"148","5319","#CRY0UJJU","་་༄ཿྭYuto.࿔࿐ོ","150","78","11","#PJUGGY0P","TOP OF JAPAN","rza2YKMlvQI8fDLGm3suKAoMeyL0oKNIw0qtfV8KSBQ"
"149","5318","#ULVRQQP8","nada","156","161","9","#LL882JR9","U.S.A United™","f6Yglz_HpPjYzfVEgnowYO5L4EjNR3buOu32Pw5a0SI"
"150","5318","#QPG2G9QL","༞☠﴿m4rtin0us﴾☠༞","144","76","15","#P29YPCJU","倭文組","e1VRvDtsd-fA2Stvc4VsJWYAvld9mYGTSkff_260Av4"
"151","5318","#P0QPV2J2","رهفًْ","145","135","14","NULL","NULL","NULL"
"152","5317","#LURGYYPC","DMaR","146","167","7","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"153","5317","#GV0GLR0U","Glider","203","105","9","#PG88UPC","Lost Phoenix ","IuD30W8lcoKfT3JwrVAesVApTmgMTPaNCJakp5FaaR4"
"154","5317","#20CVPPCQ2","BiNBuTTi","148","164","10","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"155","5316","#PLVRC0UP","بوفارس","159","150","7","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
"156","5316","#J9PGGQ8R","☆ Bo ahmed ☆","155","156","10","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"157","5316","#8RQQGRVG","Legend","144","190","16","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"158","5316","#JPV0VU2V","DIABLO","177","139","6","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"159","5316","#RVV9Y2QG","やま ビスタ","153","127","6","#8QJ09VQG","トイプードル","vcYFZPx4U0lYJvPzu8FjfHzMfSCxEqzTI3lJAhBikhA"
"160","5315","#9LP8V02L","Mel","157","97","7","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"161","5315","#8JV0GGPV","Pato","160","173","8","#Q0UU092L","ARAB CHAMPIONS","plY4H-lsOapFoPrOTbanC9uigjCVJnvc0Oaa1x4Pltw"
"162","5314","#GPV98R9C","Visione","166","178","12","#U2YJCRU","درع الجزيرة","gHwPAfYyzr9dhlcELaRtnfIQ3PXz2aeowRBeta58Z5w"
